MODEL,MAKE,MODEL,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,TRANSMISSION,FUEL,FUEL CONSUMPTION CITY (L/100 km),FUEL CONSUMPTION HWY (L/100 km),FUEL CONSUMPTION COMB (L/100 km),CO2 EMISSIONS 
2016,CHEVROLET,COLORADO,PICKUP TRUCK - SMALL,3.6,6,A6,X,13,9.2,11.3,265
2016,CHEVROLET,COLORADO 4WD,PICKUP TRUCK - SMALL,2.5,4,A6,X,12.7,9.6,11.3,265
2016,CHEVROLET,COLORADO 4WD,PICKUP TRUCK - SMALL,2.8,4,A6,D,12,8.2,10.3,277
2016,CHEVROLET,COLORADO 4WD,PICKUP TRUCK - SMALL,3.6,6,A6,X,13.6,9.9,11.9,279
2016,CHEVROLET,CORVETTE,TWO-SEATER,6.2,8,AS8,Z,14.6,8.1,11.7,275
2016,CHEVROLET,CORVETTE,TWO-SEATER,6.2,8,M7,Z,13.7,8.2,11.2,263
2016,CHEVROLET,CORVETTE Z06,TWO-SEATER,6.2,8,AS8,Z,17.7,10.2,14.3,335
2016,CHEVROLET,CORVETTE Z06,TWO-SEATER,6.2,8,M7,Z,15.7,10.6,13.4,313
2016,CHEVROLET,CRUZE,COMPACT,1.4,4,AS6,X,7.8,5.6,6.8,159
2016,CHEVROLET,CRUZE,COMPACT,1.4,4,M6,X,8.2,5.8,7.1,167
2016,CHEVROLET,CRUZE PREMIER,COMPACT,1.4,4,AS6,X,7.8,5.9,6.9,160
2016,CHEVROLET,CRUZE LIMITED,MID-SIZE,1.4,4,AS6,X,9.1,6.3,7.8,184
2016,CHEVROLET,CRUZE LIMITED,MID-SIZE,1.4,4,M6,X,9,6.2,7.8,182
2016,CHEVROLET,CRUZE LIMITED,MID-SIZE,1.8,4,AS6,X,10.5,6.8,8.8,207
2016,CHEVROLET,CRUZE LIMITED,MID-SIZE,1.8,4,M6,X,9.4,6.6,8.1,190
2016,CHEVROLET,CRUZE LIMITED ECO,MID-SIZE,1.4,4,A6,X,9,6.1,7.7,181
2016,CHEVROLET,CRUZE LIMITED ECO,MID-SIZE,1.4,4,M6,X,8.4,5.6,7.1,167
2016,CHEVROLET,EQUINOX,SUV - SMALL,2.4,4,A6,X,10.5,7.3,9.1,214
2016,CHEVROLET,EQUINOX,SUV - SMALL,3.6,6,A6,X,14.2,9.5,12.1,285
2016,CHEVROLET,EQUINOX FFV,SUV - SMALL,2.4,4,A6,X,10.5,7.3,9.1,214
2016,CHEVROLET,EQUINOX FFV,SUV - SMALL,2.4,4,A6,E,15.6,10.8,13.4,221
2016,CHEVROLET,EQUINOX AWD,SUV - SMALL,2.4,4,A6,X,11.5,8.2,10,235
2016,CHEVROLET,EQUINOX AWD,SUV - SMALL,3.6,6,A6,X,14.9,10.1,12.8,300
2016,CHEVROLET,EQUINOX AWD FFV,SUV - SMALL,2.4,4,A6,X,11.5,8.2,10,235
2016,CHEVROLET,EQUINOX AWD FFV,SUV - SMALL,2.4,4,A6,E,16.3,11.6,14.2,236
2016,CHEVROLET,EXPRESS 2500 PASSENGER,VAN - PASSENGER,6,8,A6,X,22,14.9,18.8,441
2016,CHEVROLET,EXPRESS 3500 PASSENGER,VAN - PASSENGER,6,8,A6,X,23,16,19.8,465
2016,CHEVROLET,IMPALA,FULL-SIZE,2.5,4,AS6,X,10.6,7.5,9.2,215
2016,CHEVROLET,IMPALA FFV,FULL-SIZE,3.6,6,AS6,X,12.5,8.2,10.6,248
2016,CHEVROLET,IMPALA FFV,FULL-SIZE,3.6,6,AS6,E,17,11.5,14.5,239
2016,CHEVROLET,IMPALA DUAL FUEL,MID-SIZE,3.6,6,AS6,X,13.9,9.3,11.9,272
2016,CHEVROLET,IMPALA DUAL FUEL,MID-SIZE,3.6,6,AS6,N,15.2,9.5,12.7,213
2016,CHEVROLET,MALIBU,MID-SIZE,1.5,4,A6,X,8.7,6.3,7.6,179
2016,CHEVROLET,MALIBU,MID-SIZE,2,4,AS8,Z,10.6,7.1,9,211
2016,CHEVROLET,MALIBU LIMITED,MID-SIZE,2.5,4,AS6,X,10,7,8.6,202
2016,CHEVROLET,MALIBU HYBRID,MID-SIZE,1.8,4,AV,X,5,5.1,5.1,122
2016,CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,5.3,8,A6,X,14.6,10.4,12.7,298
2016,CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,6.2,8,A8,Z,16.1,11.4,14,328
2016,CHEVROLET,SILVERADO FFV,PICKUP TRUCK - STANDARD,4.3,6,A6,X,13.5,10,11.9,280
2016,CHEVROLET,SILVERADO FFV,PICKUP TRUCK - STANDARD,4.3,6,A6,E,19.3,14.4,17.1,284
2016,CHEVROLET,SILVERADO FFV,PICKUP TRUCK - STANDARD,5.3,8,A6,X,14.6,10.4,12.7,298
2016,CHEVROLET,SILVERADO FFV,PICKUP TRUCK - STANDARD,5.3,8,A6,E,19.9,14,17.2,286
2016,CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,5.3,8,A6,X,15,10.7,13.1,307
2016,CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,6.2,8,A8,Z,16.3,11.6,14.2,332
2016,CHEVROLET,SILVERADO 4WD FFV,PICKUP TRUCK - STANDARD,4.3,6,A6,X,14.2,10.7,12.6,296
2016,CHEVROLET,SILVERADO 4WD FFV,PICKUP TRUCK - STANDARD,4.3,6,A6,E,20.3,15.3,18.1,301
2016,CHEVROLET,SILVERADO 4WD FFV,PICKUP TRUCK - STANDARD,5.3,8,A6,X,15,10.7,13.1,306
